anchor,radiative_case,planet,T_K,T_C,escape_velocity_km_s,gas,molecular_mass_amu,jeans_lambda,retention_class
venus_hot,mars_like_radiative_case,Mars-like,308.75798677436813,35.60798677436816,5.027887186236593,O2,31.998,157.54749484993357,retenção plausível
venus_hot,mars_like_radiative_case,Mars-like,308.75798677436813,35.60798677436816,5.027887186236593,H2S,34.08,167.79856942576833,retenção plausível
venus_hot,mars_like_radiative_case,Mars-like,308.75798677436813,35.60798677436816,5.027887186236593,CO2,44.01,216.690582172185,retenção plausível
venus_hot,mars_like_radiative_case,Mars-like,308.75798677436813,35.60798677436816,5.027887186236593,SO2,64.07,315.4593410536672,retenção plausível
venus_hot,venus_greenhouse_effective,Venus-like,681.781801277912,408.631801277912,10.360937957550536,H2,2.016,19.088820258623617,retenção frágil
venus_hot,venus_greenhouse_effective,Venus-like,681.781801277912,408.631801277912,10.360937957550536,He,4.003,37.90304935281267,retenção plausível
venus_hot,venus_greenhouse_effective,Venus-like,681.781801277912,408.631801277912,10.360937957550536,CH4,16.04,151.87731991484264,retenção plausível
venus_hot,venus_greenhouse_effective,Venus-like,681.781801277912,408.631801277912,10.360937957550536,NH3,17.03,161.2512941489882,retenção plausível
venus_hot,venus_greenhouse_effective,Venus-like,681.781801277912,408.631801277912,10.360937957550536,H2O,18.015,170.57792507892088,retenção plausível
venus_hot,venus_greenhouse_effective,Venus-like,681.781801277912,408.631801277912,10.360937957550536,N2,28.014,265.2550648437907,retenção plausível
venus_hot,venus_greenhouse_effective,Venus-like,681.781801277912,408.631801277912,10.360937957550536,CO,28.01,265.2171902004204,retenção plausível
venus_hot,venus_greenhouse_effective,Venus-like,681.781801277912,408.631801277912,10.360937957550536,O2,31.998,302.97820964059446,retenção plausível
venus_hot,venus_greenhouse_effective,Venus-like,681.781801277912,408.631801277912,10.360937957550536,H2S,34.08,322.69196151482777,retenção plausível
venus_hot,venus_greenhouse_effective,Venus-like,681.781801277912,408.631801277912,10.360937957550536,CO2,44.01,416.7157636815602,retenção plausível
venus_hot,venus_greenhouse_effective,Venus-like,681.781801277912,408.631801277912,10.360937957550536,SO2,64.07,606.6571001835392,retenção plausível
